"website","City","Name","Str","DealerNr","PLZ2","Trail","Phone","Plz","Latitude","Longitude","Completed","DealerFactor"
"http:/www.vw.volkswagen-automobile-berlin.de","Berlin","Volkswagen Automobile Berlin GmbH am Juliusturm","Am Juliusturm 10","19","13","How Volkswagen becomes Carbon Neutral until 2050","+49 30 89081400","13599",52.538438,13.229127,44,1
"http:/www.volkswagen-zellmann-berlin.de","Berlin","Auto-Zellmann GmbH","Rudower Straße 25 - 29","20","12","How Volkswagen becomes Carbon Neutral until 2050","+49 30 6797210","12524",52.433998,13.469765,17,2
"http:/www.vw.volkswagen-automobile-berlin.de","Berlin","Volkswagen Automobile Berlin GmbH Goerzallee","Goerzallee 251","21","14","How Volkswagen becomes Carbon Neutral until 2050","+49 30 89081600","14167",52.415247,13.283711,18,1.23
"http:/www.volkswagen-berolina.de","Berlin","Audi Zentrum Berlin-Spandau GmbH","Brunsbütteler Damm 40-50","22","13","How Volkswagen becomes Carbon Neutral until 2050","+49 30 338009490","13581",52.533099,13.156191,16,1.58
"0","Berlin","Klaus Piontek GmbH","Waltersdorfer Chaussee 18-20","23","12","How Volkswagen becomes Carbon Neutral until 2050","+49 30 6097070","12355",52.415723,13.497994,42,1.16
"http:/www.vw-auto-adler.de","Berlin","AUTO-Adler GmbH","Wendenschloßstraße 290","24","12","How Volkswagen becomes Carbon Neutral until 2050","+49 30 6580190","12557",52.429732,13.583759,17,1.75
"0","München","Handler München","0","25","80","How Volkswagen becomes Carbon Neutral until 2050","0","80",48.135125,11.581981,22,154
"0","Stuttgart","Händler Stuttgart","0","26","70","How Volkswagen becomes Carbon Neutral until 2050","0","70",48.775846,9.182932,20,104
"0","Frankfurt","Händler Frankfurt","0","27","60","How Volkswagen becomes Carbon Neutral until 2050","0","60",50.110922,8.682127,22,77
"0","Düsseldorf","Händler Düsseldorf","0","28","40","How Volkswagen becomes Carbon Neutral until 2050","0","40",51.227741,6.773456,19,169
"0","Hamburg","Händler Hamburg","0","29","20","How Volkswagen becomes Carbon Neutral until 2050","0","20",53.551085,9.993682,23,51
"0","Hannover","Händler Hannover","0","30","30","How Volkswagen becomes Carbon Neutral until 2050","0","30",52.375892,9.73201,18,259
"0","Erfurt","Händler Erfurt","0","31","99","How Volkswagen becomes Carbon Neutral until 2050","0","99",50.984768,11.02988,20,17
"0","Schwerin","Händler Schwerin","0","32","19","How Volkswagen becomes Carbon Neutral until 2050","0","19",53.635502,11.40125,18,11
"0","Kiel","Händler Kiel","0","33","24","How Volkswagen becomes Carbon Neutral until 2050","0","24",54.323292,10.122765,22,26
"0","Potsdam","Händler Potsdam","0","34","14","How Volkswagen becomes Carbon Neutral until 2050","0","14",52.396149,13.05854,18,15
"0","Leipzig","Händler Leipzig","0","35","04","How Volkswagen becomes Carbon Neutral until 2050","0","04",51.339695,12.373075,23,31
"0","Saarbrücken","Händler Saarbrücken","0","36","66","How Volkswagen becomes Carbon Neutral until 2050","0","66",49.234779,6.9944,23,4
"0","Wiesbaden","Händler Wiesbaden","0","37","65","How Volkswagen becomes Carbon Neutral until 2050","0","65",50.078217,8.239761,20,31
"0","Bremen","Händler Bremen","0","38","28","How Volkswagen becomes Carbon Neutral until 2050","0","28",53.079296,8.801694,18,5
"0","Magdeburg","Händler Magdeburg","0","39","39","How Volkswagen becomes Carbon Neutral until 2050","0","39",52.131672,11.64032,22,17
"http:/www.amore-automobile.de","Berlin","Amore Automobile Moresco e.K.","Mariannenstraße 9-10","1","10","Meet the new AR Service App","+49 30 6167040","10999",52.499662,13.42247,37,1.88
"http:/www.vw-autohausberlinpankow.de","Berlin","ASB Autohaus Berlin GmbH Berliner Str.","Berliner Straße 100","2","13","Meet the new AR Service App","+49 30 479950","13189",52.368868,13.470358,36,1.54
"http:/www.vw.volkswagen-automobile-berlin.de","Berlin","Volkswagen Automobile Berlin GmbH Franklinstr.","Franklinstr. 5","3","10","Meet the new AR Service App","+49 30 89081200","10587",52.464207,13.404865,38,1.58
"0","Berlin","Andreas Witt GmbH","Strausberger Straße 1 u. 2","4","13","Meet the new AR Service App","+49 30 9710790","13055",52.541452,13.488173,30,1.83
"http:/www.vw.volkswagen-automobile-berlin.de","Berlin","Volkswagen Automobile Berlin GmbH Oberlandstr.","Oberlandstr. 40-41","5","12","Meet the new AR Service App","+49 30 89081000","12099",52.52045,13.40732,32,1.19
"http:/www.volkswagen-service-autohaus-europa.de","Berlin","J.H. Auto(h)aus Europa GmbH","Siegfriedstraße 150","6","10","Meet the new AR Service App","+49 30 5779930","10365",52.528827,13.499454,32,1.8
"http:/www.autohaus-thomas-kapinsky.de","Berlin","Autohaus Thomas Kapinsky GmbH & Co. KG","Blankenburger Straße 95","7","13","Meet the new AR Service App","+49 30 4789960","13089",52.573267,13.443985,38,1.06
"0","Berlin","Willi Britsch GmbH","Grenzallee 100","8","12","Meet the new AR Service App","+49 30 689850","12057",52.464327,13.446074,33,0.89
"http:/www.volkswagen-moebus.de","Berlin","Autohaus Möbus GmbH","Hansastraße 202","9","13","Meet the new AR Service App","+49 30 9627620","13088",52.557932,13.492706,32,1.75
"http:/www.volkswagen-autohaus-pusch.de","Berlin","Wilhelm Pusch Kraftfahrzeuge GmbH & Co. KG","Mecklenburgische Straße 23","10","14","Meet the new AR Service App","+49 30 8209070","14197",52.479611,13.310888,30,1.73
"http:/www.volkswagen-berolina.de","Berlin","Autohaus Berolina GmbH Cicerostr.","Cicerostraße 34","11","10","Meet the new AR Service App","+49 30 338009142","10709",52.490626,13.301218,37,1.2
"http:/www.autohaus-friedrichthiele-berlin.de","Berlin","Friedrich Thiele OHG","Sophie-Charlotten-Straße 7","12","14","Meet the new AR Service App","+49 30 3267600","14059",52.521685,13.284828,35,0.85
"http:/www.vw.autohaus-berlin.de","Berlin","ASB Autohaus Berlin GmbH Marzahn","Marzahner Chaussee 234","13","12","Meet the new AR Service App","+49 30 547970","12681",52.53081,13.531643,32,1.71
"http:/www.volkswagen-berolina.de","Berlin","Autohaus Berolina GmbH Ringstr.","Ringstraße 50","14","12","Meet the new AR Service App","+49 30 338009390","12105",52.442463,13.377478,38,1.7
"0","Berlin","Auto Barth GmbH","Friedrichshaller Straße 39-40","15","14","Meet the new AR Service App","+49 30 8979790","14199",52.475381,13.294983,35,0.91
"http:/www.vw-laatzig-berlin.de","Berlin","Hans Laatzig Automobile GmbH","Eichhorster Weg 91","16","13","Meet the new AR Service App","+49 30 4090030","13435",52.602944,13.334898,38,1.56
"http:/www.vw.volkswagen-automobile-berlin.de","Berlin","Volkswagen Automobile Berlin GmbH Berliner Str.","Berliner Straße 68","17","13","Meet the new AR Service App","+49 30 89081800","13507",52.582073,13.290807,31,1.29
"http:/www.volkswagen-automobile-libera.de","Berlin","Automobile Libera","Säntisstr. 51 - 57","18","12","Meet the new AR Service App","+49 30 7431041","12277",52.52045,13.40732,30,0.91
"http:/www.vw.volkswagen-automobile-berlin.de","Berlin","Volkswagen Automobile Berlin GmbH am Juliusturm","Am Juliusturm 10","19","13","Meet the new AR Service App","+49 30 89081400","13599",52.538438,13.229127,34,1
"http:/www.volkswagen-zellmann-berlin.de","Berlin","Auto-Zellmann GmbH","Rudower Straße 25 - 29","20","12","Meet the new AR Service App","+49 30 6797210","12524",52.433998,13.469765,31,2
"http:/www.vw.volkswagen-automobile-berlin.de","Berlin","Volkswagen Automobile Berlin GmbH Goerzallee","Goerzallee 251","21","14","Meet the new AR Service App","+49 30 89081600","14167",52.415247,13.283711,38,1.23
"http:/www.volkswagen-berolina.de","Berlin","Audi Zentrum Berlin-Spandau GmbH","Brunsbütteler Damm 40-50","22","13","Meet the new AR Service App","+49 30 338009490","13581",52.533099,13.156191,31,1.58
"0","Berlin","Klaus Piontek GmbH","Waltersdorfer Chaussee 18-20","23","12","Meet the new AR Service App","+49 30 6097070","12355",52.415723,13.497994,34,1.16
"http:/www.vw-auto-adler.de","Berlin","AUTO-Adler GmbH","Wendenschloßstraße 290","24","12","Meet the new AR Service App","+49 30 6580190","12557",52.429732,13.583759,34,1.75
"0","München","Handler München","0","25","80","Meet the new AR Service App","0","80",48.135125,11.581981,36,154
"0","Stuttgart","Händler Stuttgart","0","26","70","Meet the new AR Service App","0","70",48.775846,9.182932,37,104
"0","Frankfurt","Händler Frankfurt","0","27","60","Meet the new AR Service App","0","60",50.110922,8.682127,36,77
"0","Düsseldorf","Händler Düsseldorf","0","28","40","Meet the new AR Service App","0","40",51.227741,6.773456,30,169
"0","Hamburg","Händler Hamburg","0","29","20","Meet the new AR Service App","0","20",53.551085,9.993682,33,51
"0","Hannover","Händler Hannover","0","30","30","Meet the new AR Service App","0","30",52.375892,9.73201,29,259
"0","Erfurt","Händler Erfurt","0","31","99","Meet the new AR Service App","0","99",50.984768,11.02988,38,17
"0","Schwerin","Händler Schwerin","0","32","19","Meet the new AR Service App","0","19",53.635502,11.40125,33,11
"0","Kiel","Händler Kiel","0","33","24","Meet the new AR Service App","0","24",54.323292,10.122765,39,26
"0","Potsdam","Händler Potsdam","0","34","14","Meet the new AR Service App","0","14",52.396149,13.05854,33,15
"0","Leipzig","Händler Leipzig","0","35","04","Meet the new AR Service App","0","04",51.339695,12.373075,33,31
"0","Saarbrücken","Händler Saarbrücken","0","36","66","Meet the new AR Service App","0","66",49.234779,6.9944,39,4
"0","Wiesbaden","Händler Wiesbaden","0","37","65","Meet the new AR Service App","0","65",50.078217,8.239761,32,31
"0","Bremen","Händler Bremen","0","38","28","Meet the new AR Service App","0","28",53.079296,8.801694,32,5
"0","Magdeburg","Händler Magdeburg","0","39","39","Meet the new AR Service App","0","39",52.131672,11.64032,35,17
"http:/www.amore-automobile.de","Berlin","Amore Automobile Moresco e.K.","Mariannenstraße 9-10","1","10","Become a Functions on Demand Rockstar","+49 30 6167040","10999",52.499662,13.42247,9,1.88
"http:/www.vw-autohausberlinpankow.de","Berlin","ASB Autohaus Berlin GmbH Berliner Str.","Berliner Straße 100","2","13","Become a Functions on Demand Rockstar","+49 30 479950","13189",52.368868,13.470358,55,1.54
"http:/www.vw.volkswagen-automobile-berlin.de","Berlin","Volkswagen Automobile Berlin GmbH Franklinstr.","Franklinstr. 5","3","10","Become a Functions on Demand Rockstar","+49 30 89081200","10587",52.464207,13.404865,20,1.58
"0","Berlin","Andreas Witt GmbH","Strausberger Straße 1 u. 2","4","13","Become a Functions on Demand Rockstar","+49 30 9710790","13055",52.541452,13.488173,34,1.83
"http:/www.vw.volkswagen-automobile-berlin.de","Berlin","Volkswagen Automobile Berlin GmbH Oberlandstr.","Oberlandstr. 40-41","5","12","Become a Functions on Demand Rockstar","+49 30 89081000","12099",52.52045,13.40732,81,1.19
"http:/www.volkswagen-service-autohaus-europa.de","Berlin","J.H. Auto(h)aus Europa GmbH","Siegfriedstraße 150","6","10","Become a Functions on Demand Rockstar","+49 30 5779930","10365",52.528827,13.499454,18,1.8
"http:/www.autohaus-thomas-kapinsky.de","Berlin","Autohaus Thomas Kapinsky GmbH & Co. KG","Blankenburger Straße 95","7","13","Become a Functions on Demand Rockstar","+49 30 4789960","13089",52.573267,13.443985,38,1.06
"0","Berlin","Willi Britsch GmbH","Grenzallee 100","8","12","Become a Functions on Demand Rockstar","+49 30 689850","12057",52.464327,13.446074,7,0.89
"http:/www.volkswagen-moebus.de","Berlin","Autohaus Möbus GmbH","Hansastraße 202","9","13","Become a Functions on Demand Rockstar","+49 30 9627620","13088",52.557932,13.492706,1,1.75
"http:/www.volkswagen-autohaus-pusch.de","Berlin","Wilhelm Pusch Kraftfahrzeuge GmbH & Co. KG","Mecklenburgische Straße 23","10","14","Become a Functions on Demand Rockstar","+49 30 8209070","14197",52.479611,13.310888,74,1.73
"http:/www.volkswagen-berolina.de","Berlin","Autohaus Berolina GmbH Cicerostr.","Cicerostraße 34","11","10","Become a Functions on Demand Rockstar","+49 30 338009142","10709",52.490626,13.301218,52,1.2
"http:/www.autohaus-friedrichthiele-berlin.de","Berlin","Friedrich Thiele OHG","Sophie-Charlotten-Straße 7","12","14","Become a Functions on Demand Rockstar","+49 30 3267600","14059",52.521685,13.284828,78,0.85
"http:/www.vw.autohaus-berlin.de","Berlin","ASB Autohaus Berlin GmbH Marzahn","Marzahner Chaussee 234","13","12","Become a Functions on Demand Rockstar","+49 30 547970","12681",52.53081,13.531643,19,1.71
"http:/www.volkswagen-berolina.de","Berlin","Autohaus Berolina GmbH Ringstr.","Ringstraße 50","14","12","Become a Functions on Demand Rockstar","+49 30 338009390","12105",52.442463,13.377478,35,1.7
"0","Berlin","Auto Barth GmbH","Friedrichshaller Straße 39-40","15","14","Become a Functions on Demand Rockstar","+49 30 8979790","14199",52.475381,13.294983,59,0.91
"http:/www.vw-laatzig-berlin.de","Berlin","Hans Laatzig Automobile GmbH","Eichhorster Weg 91","16","13","Become a Functions on Demand Rockstar","+49 30 4090030","13435",52.602944,13.334898,62,1.56
"http:/www.vw.volkswagen-automobile-berlin.de","Berlin","Volkswagen Automobile Berlin GmbH Berliner Str.","Berliner Straße 68","17","13","Become a Functions on Demand Rockstar","+49 30 89081800","13507",52.582073,13.290807,51,1.29
"http:/www.volkswagen-automobile-libera.de","Berlin","Automobile Libera","Säntisstr. 51 - 57","18","12","Become a Functions on Demand Rockstar","+49 30 7431041","12277",52.52045,13.40732,55,0.91
"http:/www.vw.volkswagen-automobile-berlin.de","Berlin","Volkswagen Automobile Berlin GmbH am Juliusturm","Am Juliusturm 10","19","13","Become a Functions on Demand Rockstar","+49 30 89081400","13599",52.538438,13.229127,6,1
"http:/www.volkswagen-zellmann-berlin.de","Berlin","Auto-Zellmann GmbH","Rudower Straße 25 - 29","20","12","Become a Functions on Demand Rockstar","+49 30 6797210","12524",52.433998,13.469765,100,2
"http:/www.vw.volkswagen-automobile-berlin.de","Berlin","Volkswagen Automobile Berlin GmbH Goerzallee","Goerzallee 251","21","14","Become a Functions on Demand Rockstar","+49 30 89081600","14167",52.415247,13.283711,26,1.23
"http:/www.volkswagen-berolina.de","Berlin","Audi Zentrum Berlin-Spandau GmbH","Brunsbütteler Damm 40-50","22","13","Become a Functions on Demand Rockstar","+49 30 338009490","13581",52.533099,13.156191,81,1.58
"0","Berlin","Klaus Piontek GmbH","Waltersdorfer Chaussee 18-20","23","12","Become a Functions on Demand Rockstar","+49 30 6097070","12355",52.415723,13.497994,67,1.16
"http:/www.vw-auto-adler.de","Berlin","AUTO-Adler GmbH","Wendenschloßstraße 290","24","12","Become a Functions on Demand Rockstar","+49 30 6580190","12557",52.429732,13.583759,9,1.75
"0","München","Handler München","0","25","80","Become a Functions on Demand Rockstar","0","80",48.135125,11.581981,16,154
"0","Stuttgart","Händler Stuttgart","0","26","70","Become a Functions on Demand Rockstar","0","70",48.775846,9.182932,63,104
"0","Frankfurt","Händler Frankfurt","0","27","60","Become a Functions on Demand Rockstar","0","60",50.110922,8.682127,45,77
"0","Düsseldorf","Händler Düsseldorf","0","28","40","Become a Functions on Demand Rockstar","0","40",51.227741,6.773456,89,169
"0","Hamburg","Händler Hamburg","0","29","20","Become a Functions on Demand Rockstar","0","20",53.551085,9.993682,38,51
"0","Hannover","Händler Hannover","0","30","30","Become a Functions on Demand Rockstar","0","30",52.375892,9.73201,18,259
"0","Erfurt","Händler Erfurt","0","31","99","Become a Functions on Demand Rockstar","0","99",50.984768,11.02988,14,17
"0","Schwerin","Händler Schwerin","0","32","19","Become a Functions on Demand Rockstar","0","19",53.635502,11.40125,89,11
"0","Kiel","Händler Kiel","0","33","24","Become a Functions on Demand Rockstar","0","24",54.323292,10.122765,77,26
"0","Potsdam","Händler Potsdam","0","34","14","Become a Functions on Demand Rockstar","0","14",52.396149,13.05854,88,15
"0","Leipzig","Händler Leipzig","0","35","04","Become a Functions on Demand Rockstar","0","04",51.339695,12.373075,90,31
"0","Saarbrücken","Händler Saarbrücken","0","36","66","Become a Functions on Demand Rockstar","0","66",49.234779,6.9944,7,4
"0","Wiesbaden","Händler Wiesbaden","0","37","65","Become a Functions on Demand Rockstar","0","65",50.078217,8.239761,15,31
"0","Bremen","Händler Bremen","0","38","28","Become a Functions on Demand Rockstar","0","28",53.079296,8.801694,12,5
"0","Magdeburg","Händler Magdeburg","0","39","39","Become a Functions on Demand Rockstar","0","39",52.131672,11.64032,99,17
"http:/www.amore-automobile.de","Berlin","Amore Automobile Moresco e.K.","Mariannenstraße 9-10","1","10","Everything about Service Leads","+49 30 6167040","10999",52.499662,13.42247,86,1.88
"http:/www.vw-autohausberlinpankow.de","Berlin","ASB Autohaus Berlin GmbH Berliner Str.","Berliner Straße 100","2","13","Everything about Service Leads","+49 30 479950","13189",52.368868,13.470358,86,1.54
"http:/www.vw.volkswagen-automobile-berlin.de","Berlin","Volkswagen Automobile Berlin GmbH Franklinstr.","Franklinstr. 5","3","10","Everything about Service Leads","+49 30 89081200","10587",52.464207,13.404865,73,1.58
"0","Berlin","Andreas Witt GmbH","Strausberger Straße 1 u. 2","4","13","Everything about Service Leads","+49 30 9710790","13055",52.541452,13.488173,78,1.83
"http:/www.vw.volkswagen-automobile-berlin.de","Berlin","Volkswagen Automobile Berlin GmbH Oberlandstr.","Oberlandstr. 40-41","5","12","Everything about Service Leads","+49 30 89081000","12099",52.52045,13.40732,71,1.19
"http:/www.volkswagen-service-autohaus-europa.de","Berlin","J.H. Auto(h)aus Europa GmbH","Siegfriedstraße 150","6","10","Everything about Service Leads","+49 30 5779930","10365",52.528827,13.499454,88,1.8
